nid,label
120945,24
2970,16
120946,24
2971,8
120950,24
2972,16
120951,10
2973,24
2974,5
2975,24
2976,24
2977,16
2978,24
120952,24
2981,24
2982,28
2983,28
120954,8
2984,27
120956,16
2985,4
2986,23
120958,24
2987,16
2988,10
2989,28
2990,4
2991,10
2992,16
2993,16
2994,4
2995,16
120969,8
120970,27
2997,16
2998,31
2999,5
3000,8
3001,8
3002,31
3003,16
3004,24
3005,16
3006,31
3007,16
3008,16
3009,24
3010,16
3011,16
3012,16
3013,27
3014,24
3015,16
3016,6
3017,16
3018,16
3019,5
120991,24
3020,24
3021,31
3022,24
3023,16
121002,16
3024,24
3026,19
3025,14
3028,27
121001,16
3029,16
3030,24
3031,6
121004,27
3027,8
3032,28
3033,31
3034,5
3035,16
3036,24
121015,16
3037,9
3038,23
3039,4
3040,24
3041,28
3042,28
3043,26
3044,28
3045,23
3046,33
3047,24
3048,28
3049,28
3050,9
3051,22
3052,28
121032,27
3053,24
121034,24
3054,28
3055,9
3056,16
3057,24
3059,8
121033,16
121035,27
121042,24
121044,28
121046,24
3068,10
121055,24
121057,16
121068,23
121069,31
3094,24
3104,24
121084,16
3106,28
121094,24
3136,28
3147,27
121126,28
3158,28
121137,16
3160,8
121139,28
3165,27
3169,24
3186,10
121165,27
3200,2
3218,26
121194,31
3228,20
3229,25
3235,16
121208,28
3241,22
121222,28
121228,28
121237,19
121238,0
121249,28
3281,24
121250,31
121251,8
121252,10
121253,32
121254,28
121255,24
121258,24
3290,5
3291,28
121259,6
3293,28
3294,8
121260,32
3296,28
121261,33
3297,19
121262,4
3298,4
3299,16
121263,28
3300,24
3301,16
3302,16
3303,4
121272,31
3304,28
3305,16
3306,16
3307,16
3308,4
121276,4
3310,10
121274,18
121277,16
121278,8
3312,28
3313,10
3314,26
3315,28
3316,28
3317,3
3318,24
3319,19
121285,27
3320,6
3321,28
3322,28
3323,16
3324,28
3325,2
3326,24
121290,13
3327,28
3328,28
3329,34
3330,28
3331,8
3332,28
3333,16
3334,27
3335,10
3336,28
3337,27
3338,28
3339,3
3340,4
3341,16
3342,16
3343,28
3344,16
3345,14
3346,24
3347,16
3348,16
3349,28
3350,5
3351,19
3352,3
121317,16
3353,16
3354,16
3355,24
3356,27
3357,32
3358,24
3359,24
3360,8
3361,2
3362,4
3363,27
3364,32
3365,8
3366,28
3367,28
3368,16
3369,16
3370,23
3371,16
3372,4
3373,28
3374,2
3375,28
3376,31
3377,16
3378,24
3379,28
3380,19
3381,6
3382,24
3383,24
3384,16
3385,5
3386,24
121348,24
3387,31
3388,20
3389,4
3390,28
3391,28
3392,27
3393,16
3394,16
3395,25
3396,16
3397,28
3398,3
121357,24
3399,24
3400,6
3401,32
3402,4
3403,16
3404,34
121363,24
3405,4
3406,10
3407,24
3408,24
3409,24
3410,16
3411,2
3412,16
3413,26
3414,8
121373,16
3415,19
3416,28
3417,27
3418,16
3419,16
3420,24
3421,24
3422,8
3423,27
3424,25
3425,28
3426,17
3427,31
3428,16
3429,28
3430,16
3431,20
3432,16
121391,24
121392,13
121399,16
3435,10
3436,24
3437,9
3438,9
3439,28
121400,28
3441,10
3442,9
3443,2
3444,24
3445,24
3446,8
3447,13
3448,3
3449,24
3450,8
3451,27
3452,4
121411,24
3453,28
3454,20
3455,24
3456,28
3457,3
3458,24
3459,24
3460,33
3461,7
3462,16
3463,16
3464,6
121424,16
3465,24
3466,26
3467,33
3468,28
3469,4
3470,16
3471,16
3472,23
3473,4
3474,28
3475,16
3476,31
3477,16
3478,22
3479,16
3480,16
121437,16
3481,4
3482,16
3483,28
3484,4
3485,34
3486,4
3487,18
3488,26
3489,28
3490,24
121447,24
3491,24
3492,16
3493,24
3494,24
3495,16
3496,24
3497,28
3498,26
3499,28
3500,16
121458,13
3501,28
3502,16
3503,25
121468,27
3504,24
3505,24
3506,33
3507,16
121469,24
121470,24
3508,24
121471,6
121472,24
121473,16
121474,10
121475,26
121476,24
121477,24
121478,16
3856,9
121848,16
121885,16
121929,8
121945,24
121951,16
3987,24
3995,24
4001,24
121988,24
122025,27
122052,16
4069,28
122072,1
4074,16
4076,28
122079,4
122084,33
122087,4
122088,23
122089,28
122090,24
122091,16
122092,4
122093,24
122095,16
122096,16
4095,4
122097,26
4097,16
122098,16
122099,18
122100,4
122101,16
122102,16
4103,8
122104,28
122105,25
122106,8
122107,16
122108,2
122109,16
122110,10
122111,8
122112,16
122113,24
4113,23
122114,16
122115,24
122116,16
122117,10
122118,24
122119,16
122120,24
4119,24
122121,31
122122,16
122123,16
122124,24
4121,28
122125,24
4123,24
4124,28
4125,23
4126,28
4127,28
122129,16
122127,24
122128,16
4129,28
4130,2
4131,33
122130,4
4132,23
4133,28
122132,16
4134,3
4135,26
4136,28
4137,8
4138,28
4139,28
4140,26
4141,28
4142,8
4143,19
4144,5
4145,28
4146,28
4147,28
122148,32
4149,8
4150,20
4151,4
4152,28
4153,26
4154,24
4155,1
4156,10
4157,28
4158,5
4159,11
122157,24
4160,31
4161,7
4162,16
4163,28
4164,15
4165,28
4166,31
4167,16
4168,28
4169,10
4170,2
4171,2
4172,31
4173,28
4174,14
4175,4
4176,24
122172,28
4177,16
4178,28
4179,16
4180,28
4181,26
4182,24
4183,33
4184,24
122181,4
4185,10
4186,28
4187,28
4188,16
4189,28
4190,6
4191,9
4192,16
4193,24
4194,28
4195,25
4196,8
4197,20
4198,8
4199,28
4200,28
4201,4
4202,6
4203,10
122204,32
4204,34
4205,28
4206,5
4207,28
122207,33
122212,5
122216,2
4227,28
122231,24
4239,28
122240,23
122243,28
4243,16
4244,28
122257,10
122267,31
4273,8
4279,16
122278,10
122290,28
122298,2
4306,10
4307,16
122302,16
4309,28
4313,4
122309,10
4323,16
4329,16
122325,24
4334,16
4341,32
122359,24
122360,24
122362,28
4366,25
4371,24
122371,16
122380,16
4401,4
4411,16
122408,16
4418,23
4424,24
122425,16
4431,5
122427,24
122429,16
4434,8
122431,5
122432,24
122433,11
122434,19
122435,10
122437,24
122438,16
4444,16
122439,16
122440,16
122441,16
4448,28
4449,5
4450,24
122442,13
122443,6
122444,24
4452,2
4453,24
122445,24
122449,28
4454,24
4455,27
4456,24
4457,28
4458,23
122455,8
4459,4
122454,16
4460,24
4461,16
4462,16
4463,28
122458,16
122459,16
4466,24
4467,16
4468,28
4469,2
122460,4
122461,2
4472,16
4473,4
4474,8
4475,16
122464,8
4476,24
4477,16
4478,8
4479,16
4480,24
4481,4
4482,16
4483,19
4484,27
4485,16
122473,16
4486,16
4487,27
4488,5
4489,24
4490,24
122477,31
4491,16
4492,32
4493,24
4494,16
4495,10
4496,16
4497,4
4498,28
4499,28
4500,27
4501,8
122488,16
4502,16
122490,24
4503,16
4504,28
4505,28
4506,24
4507,28
4508,28
4509,27
4510,16
4511,16
4512,24
4513,16
4514,7
4515,27
4516,24
4517,16
4518,24
4519,26
4520,24
4521,24
4522,16
4523,28
4524,24
4525,4
4526,16
4527,24
122515,24
4528,7
4529,16
122518,8
4530,24
4531,24
4532,28
4533,23
4534,16
122524,24
4535,10
4536,25
4537,24
4538,13
4539,2
4540,16
4541,24
4542,10
4543,16
4544,9
4545,25
4546,28
4547,13
4548,27
4549,16
4550,16
122541,8
4551,24
4552,24
122544,19
4553,16
4554,33
4555,28
4556,24
4557,24
4558,28
4559,28
4560,16
4561,16
4562,16
4563,16
4564,16
4565,10
4566,16
4567,27
4568,10
4569,16
4570,16
4571,24
4572,8
4573,4
4574,16
122564,28
4575,16
4576,8
4577,7
4578,28
4579,24
4580,16
4581,27
4582,25
4583,18
4584,16
122575,24
4585,23
4586,28
4587,24
4588,16
4589,16
4590,28
4591,4
4592,28
4593,10
4594,28
4595,32
4596,16
4597,10
4598,24
4599,16
122588,28
122589,28
4600,28
4601,28
4602,24
4603,16
4604,19
4605,27
122595,26
4606,24
4607,16
4608,16
122598,19
122599,28
4609,24
4610,24
4611,32
4612,16
4613,24
4614,16
4615,24
4616,19
4617,16
4618,16
4619,24
122610,32
4620,4
4621,16
4622,24
4623,9
4624,4
4625,33
122617,22
4626,8
4627,16
4628,28
122620,6
4629,16
4630,2
4631,2
4632,10
4633,20
122625,13
4634,8
4635,24
4636,23
4637,32
4638,24
4639,13
4640,2
4641,8
122633,26
122634,9
4642,4
4643,23
4644,28
4645,23
4646,8
4647,24
4648,16
4649,20
4650,4
4651,28
4652,9
4653,28
4654,28
4655,24
4656,28
4657,16
4658,26
4659,10
4660,23
4661,16
4662,5
4663,5
4896,3
122943,5
123119,16
123132,16
123153,25
123155,16
123168,31
123172,16
123177,28
5178,16
123187,27
5188,19
5194,4
5195,31
5197,4
123222,23
5219,28
123229,10
5228,24
123235,2
123238,5
123245,28
123246,28
123248,27
5242,33
123249,34
123250,24
123251,31
5246,24
5247,24
123252,22
123253,31
123255,10
123258,10
5248,22
123256,20
5249,26
123262,5
123263,10
123264,26
123265,28
123266,24
123267,28
123268,4
123269,19
123270,10
123271,24
123272,22
123273,31
123274,24
5254,27
5255,26
5256,10
5258,24
5259,11
123278,27
123279,24
5261,24
123280,10
123281,24
123282,5
123283,26
123284,20
123285,16
5268,28
123286,0
123287,33
123288,26
123289,2
123290,8
123291,5
5273,24
5274,14
5275,26
5276,26
5277,16
123295,28
5278,24
5279,16
5280,2
123299,20
123300,3
123301,16
5284,26
123303,9
123304,32
123305,10
123306,16
123307,26
5290,16
5291,28
123310,28
123311,11
123312,24
123313,20
123314,28
123315,28
123316,28
123317,24
123318,24
123319,8
123320,28
123321,16
5303,10
5304,20
123324,16
5306,22
5307,5
5308,16
5309,16
5310,32
5311,4
5312,24
5313,5
5314,28
5315,10
5316,16
5317,16
5318,24
5319,16
123337,33
123338,5
5321,4
5322,16
5323,32
5324,24
5325,24
5326,19
5327,16
5328,9
5329,25
5330,24
5331,28
5332,2
5333,10
5334,31
5335,5
123351,10
5336,19
5337,16
5338,16
5339,10
5340,9
5341,28
5342,24
5344,27
5345,16
5346,16
123352,16
123353,24
123354,16
5349,16
5350,15
123355,16
123356,16
123357,9
123358,24
123359,16
123361,24
123362,16
123363,28
123364,4
5359,4
123373,24
5365,16
5366,26
123381,24
5375,24
123387,5
123389,16
123404,16
5390,16
5401,24
5404,19
123430,10
123435,24
5421,8
123445,24
123452,24
123465,16
123471,10
5456,4
5464,5
123488,8
5484,16
123501,24
5490,16
123508,16
5496,5
5499,16
5504,16
5506,16
5507,16
123525,16
5512,24
123543,19
123545,28
5535,24
5538,27
5551,31
123574,26
123575,2
5555,16
5564,16
123587,28
5566,24
123590,26
5568,4
5569,24
5570,28
5572,33
5573,28
5574,10
5575,5
5576,16
5577,31
5578,4
123600,19
123601,8
123602,8
123603,16
5579,14
123605,28
123606,26
123607,4
5580,24
123608,10
123609,28
123610,19
123611,2
5582,28
123613,16
5583,16
123614,24
5585,18
123616,16
5587,24
5588,2
5589,13
123619,16
5591,26
123621,28
5593,16
5594,2
5595,24
123625,28
123626,31
5598,26
123628,34
123629,22
5600,10
5601,28
5602,24
5603,8
5604,8
5605,24
123636,3
123637,28
123638,28
5609,10
5610,24
123641,28
5612,24
123643,24
123635,3
5615,28
5616,8
123646,28
5618,20
5619,28
5620,27
5621,10
5622,22
5623,4
5624,16
5625,8
123652,28
123653,3
5627,16
123654,28
123655,16
123656,28
123657,28
123658,22
5633,32
123659,28
123660,2
123661,28
123662,28
123663,24
123664,27
123665,8
123666,8
123667,18
123668,28
123669,34
123670,28
5646,34
123671,34
123672,8
123673,2
123674,8
123675,32
123676,0
123677,28
123678,31
123679,28
123680,24
123681,4
123682,28
123683,10
123684,8
123685,5
123686,18
123687,5
123688,28
123689,34
123690,23
123691,28
123692,2
123693,16
5668,16
123695,10
5670,8
123696,26
123697,28
123698,6
123699,28
123700,28
123701,8
123702,0
123703,13
123704,2
123705,18
123706,28
5682,16
123708,28
123709,28
5685,19
5687,9
5688,31
5689,16
5690,2
5691,10
5692,24
5693,24
5694,28
5695,22
5696,26
5697,2
5699,16
5700,10
5701,10
5702,31
5703,28
5704,31
5705,31
5706,8
5707,2
5708,28
123731,34
123732,8
123733,1
123734,5
5709,21
123736,9
5711,28
123738,9
123739,5
123740,28
123741,8
123742,28
123743,28
123744,2
123745,2
123746,20
123747,26
123748,26
123749,5
123750,5
5723,28
123751,2
123752,2
5726,28
5727,4
123755,8
123756,6
123757,16
123758,22
5732,24
5733,23
123759,2
123760,24
123761,23
123762,24
123763,16
123764,28
123765,28
123766,16
123767,16
123768,16
123769,3
123770,16
123771,20
123772,33
123773,19
123774,28
123775,20
123776,1
5750,10
123777,24
5752,28
5753,34
5754,26
5755,16
5756,31
5757,24
5758,24
5759,5
5760,9
5761,5
5762,8
123780,23
5763,16
5764,22
5765,5
5766,28
5767,16
5768,16
5769,16
5770,23
5772,16
5773,24
5774,16
5775,10
5776,16
5777,24
5778,24
5779,20
5780,28
5781,24
123798,24
123799,24
123800,28
123801,24
123802,5
123803,27
123804,24
123805,16
123806,16
123807,25
123808,33
123809,24
123810,24
123811,22
123812,22
123813,10
123814,23
123815,24
6092,5
6191,16
124237,23
6245,16
124272,20
124285,28
6257,6
6261,16
6268,24
6324,24
6333,8
6334,23
6344,2
6346,4
6348,24
6349,22
6350,16
6351,24
6352,24
124379,8
6354,28
6355,24
6356,10
6357,24
124383,24
6359,28
6360,16
6361,1
6362,24
6363,24
6364,2
124391,16
6365,28
6366,8
6367,28
6368,24
6369,10
6370,4
6371,16
6372,24
6373,28
6374,16
6375,26
6376,18
6377,28
6378,26
6379,5
6380,24
6381,33
6382,24
6383,27
6384,9
6385,24
6386,27
6387,24
6388,16
6389,16
6390,27
6391,16
6392,28
6393,24
6394,3
6396,8
6397,3
6398,10
6399,24
6401,16
6402,16
6403,24
6404,3
6405,27
6407,24
6408,19
6409,16
6410,18
6412,16
6413,27
6414,16
6415,24
6416,23
6417,16
6418,23
6419,16
6420,4
6421,16
6422,10
6423,10
6424,16
6425,16
6426,25
6427,16
6428,16
6429,16
6430,24
6431,16
124457,24
6433,23
6434,16
6435,16
124459,28
6437,16
124461,24
6439,8
6440,16
6441,24
124466,16
6442,16
6443,24
124467,16
6444,26
6445,16
124468,16
6446,16
6447,16
124469,28
124470,28
124471,31
124472,4
124473,24
124474,24
124475,16
124476,16
124477,4
124478,16
124479,26
124480,24
124481,16
124482,16
124483,28
124484,16
124485,16
124486,24
124487,16
124488,24
124489,16
124490,24
124491,24
124492,4
124493,8
124494,27
124495,27
124496,8
124497,24
124498,7
6475,8
124499,16
124500,4
124502,16
124503,16
124504,24
124506,24
6481,16
124507,10
124508,28
124509,13
124510,24
6485,24
124511,24
124512,17
124513,4
124514,24
124515,13
124516,24
124518,2
124520,28
124521,16
124523,16
124524,24
6495,4
124525,16
124526,27
124527,3
124528,24
124529,24
124530,5
124531,4
124532,8
124534,24
6505,24
124535,24
124536,27
124537,1
6510,4
124539,16
124538,24
6513,16
124541,2
124542,4
6516,24
124543,25
124544,16
124545,10
124547,16
6520,16
124548,3
124549,25
124550,20
124551,16
124552,5
124553,16
124554,24
124555,24
124556,10
124557,16
124558,4
124559,24
124560,16
124561,24
124562,16
124563,24
124564,28
124565,26
124566,10
124568,28
124569,24
124570,5
124571,9
124572,4
124573,16
124574,16
124575,5
124576,10
124578,33
124579,28
124580,28
124582,28
124585,24
124590,34
6563,16
124594,28
6577,20
6581,34
124616,10
6589,10
124621,22
124625,28
6600,9
124633,28
6606,8
124639,9
6616,26
124649,8
124653,26
124655,16
124656,3
6628,19
124665,19
124666,24
6634,6
6640,28
6655,24
6659,8
124695,27
6678,28
124716,16
6685,28
6690,23
6705,13
6706,10
6707,24
6708,26
6709,28
6710,18
6711,9
6712,9
6713,16
6714,16
6715,28
6717,10
6718,28
124750,28
6721,10
6722,2
6723,34
124752,28
124753,28
6724,8
6725,24
6726,27
6727,24
6728,33
6729,22
6730,4
6731,20
6732,28
6733,4
6734,16
6735,16
124761,27
6736,31
6737,2
6738,2
6739,16
6740,28
6741,8
6742,2
6743,26
6744,16
6745,28
6746,28
6747,22
124773,19
6749,31
6750,2
6751,24
6752,5
6753,20
6754,9
6755,16
6756,32
6757,28
6758,27
6759,32
6760,31
6761,24
6762,24
6763,24
6764,28
6765,28
6766,26
6767,10
6768,16
6769,27
6770,16
6771,14
6772,28
6773,16
6774,5
6775,16
6776,16
6777,24
6778,24
6779,24
6780,10
124806,28
6781,25
6782,28
6783,26
6784,16
6785,16
6786,26
6787,16
6788,28
6789,23
118586,24
6790,24
6791,5
6792,28
6793,16
6794,5
6795,9
6796,26
118587,13
118588,28
6797,16
6798,27
6799,28
6800,10
6801,16
118589,24
6802,24
118590,16
6803,16
6804,16
6805,5
6806,24
6807,4
6808,25
6809,13
6810,28
118591,31
118592,31
